County,5figgrid,gamecov_present,gamecov_poss,gamecov_absent,pheasant_breed,pheasant_wint,rlp_breed,rlp_wint,broad_wood,conif_wood,arable,imp_grass,semnat_grass,mountain,saltwater,freshwater,coastal,built_up,habitat_div_shannon,GridType,GridArea,SPA,SAC,SSSI,PA,PA_suit,X,Y
Devon,SS21N,0,0,1,3,3,0,0,23.25,0,4.75,70.5,0,0,0,0,0,1.25,0.785133193,Tetrad (2 km square),4000173.64171163,0,0.11487156900752145,0.11487157086194055,0.11487157465849712,0.1148715746584973,224997.82481819557,116999.71484435118
Devon,SS21P,3,0,0,4,5,0,1,13,0,22.5,59.25,0,4.5,0,0,0,0.75,1.087213733,Tetrad (2 km square),4000127.84073838,0,0.006498386485605174,0.006485615880807948,0.006498535601522998,0.006498535601522998,224997.83769112482,118999.75373632486
Devon,SS22K,0,0,1,2,0,1,0,4.25,0,22.25,67.75,0,4.75,0,0,0,1.25,0.931895723,Tetrad (2 km square),4000079.23891865,0,0.037985660501633704,0.03820383725639858,0.03820408124334279,0.03820408124334279,224997.8535630488,120999.7743171639
Devon,SS22L,0,0,1,5,5,1,2,6.75,0,28.75,62.75,0,0,0,0,0,1.75,0.903552425,Tetrad (2 km square),4000069.13370251,0,0,0,0,0,224997.86582340172,122999.78460585896
Devon,SS22M,4,2,0,3,4,0,0,19.5,0.25,28.25,48.75,0,0.25,0,0,0,3.25,1.16744979,Tetrad (2 km square),4000070.82923064,0,0,0,0,0,224997.86926469358,124999.79714587682
Devon,SS22N,0,0,1,3,3,0,0,1.25,0,33.75,32.75,0,6.25,0,0,7,1,1.192428595,Tetrad (2 km square),4000070.29779973,0,0.13214756456175797,0.13113649352726706,0.13214756699792335,0.13214756699792335,224997.86545923428,126999.81693953047
Devon,SS20Q,0,0,1,3,2,0,0,9.5,0,21.5,67,0,0.25,0,0,0,2,0.915637747,Tetrad (2 km square),4000129.5910689,0,0,0,0,0,226997.7592428349,100999.3685922138
Devon,SS20R,0,0,1,3,0,0,0,2.5,1.75,10.25,79,0,0,0,0,0,6.5,0.760392732,Tetrad (2 km square),4000120.35712748,0,0,0,0,0,226997.77548344055,102999.39380704731
Devon,SS20S,0,0,1,3,0,0,0,5,2.25,10.5,80.25,0,0,0,0,0,2.25,0.733744678,Tetrad (2 km square),4000161.38882261,0,0,3.450925142548018e-4,3.450925142548018e-4,3.450925142548018e-4,226997.78855365695,104999.42796872511
Devon,SS20T,0,#N/A,1,3,0,0,0,6.25,0.5,13,74,0,4.5,0,0,0,1.75,0.898171236,Tetrad (2 km square),4000168.06964207,0,0,0.02685778540541197,0.02685778540541197,0.02685778540541197,226997.8008749432,106999.47263000594
Devon,SS21S,0,0,1,2,4,0,0,2.75,5.5,9.75,80.25,0,0.75,0,0,0,0.75,0.735278485,Tetrad (2 km square),4000182.31227098,0,0,0,0,0,226997.85418630787,114999.65026858398
Devon,SS21T,0,0,1,3,2,0,0,2.25,10.25,14,57.75,0,14.25,0,0,0,2,1.267074079,Tetrad (2 km square),4000143.06037637,0,0,0.07800401544208319,0.07800401544208319,0.07800401544208105,226997.8587167514,116999.69397160634
Devon,SS21U,2,0,0,3,2,0,0,5.75,12,5.25,54.25,0,22.75,0,0,0,0.25,1.25695589,Tetrad (2 km square),4000089.71019952,0,0.1373972097606009,0.19296946211847427,0.19296984729323777,0.19296984729323685,226997.86709545038,118999.72744272463
Devon,SS22Q,0,0,1,2,0,1,1,1.75,14,3.5,60.5,0,19,0,0,0,1.5,1.145950487,Tetrad (2 km square),4000067.6276881,0,0.18561226676721526,0.1860876746270575,0.18609425199613375,0.18609425199613375,226997.8787295444,120999.74529231565
Devon,SS22R,0,0,1,3,2,0,0,1.75,0,45.75,51.5,0,0.25,0,0,0,0.75,0.821975385,Tetrad (2 km square),4000064.84250711,0,0,0,0,0,226997.8882203526,122999.75714699691
Devon,SS22S,0,0,1,3,2,0,0,7.5,0,38.75,46,0,0.25,0,0,0,7.25,1.124069453,Tetrad (2 km square),4000062.97038741,0,0,0,0,0,226997.88845459308,124999.76985493518
Devon,SS22T,0,0,1,3,4,0,0,1.75,0,32,29.5,0,6.75,0,0,4.75,1,1.168286535,Tetrad (2 km square),4000080.43140126,0,0.12543707151847133,0.12543706779304173,0.1254370741867496,0.1254370741867496,226997.88213183766,126999.78770018688
